dataset,layer,head,pearson_PAM,pearson_QAM,pearson_SAM,spearman_PAM,spearman_QAM,spearman_SAM
alpaca,0,0,0.1277539419242559,-0.12583638966436908,0.05966307873530108,0.14098439433182525,-0.13980952437906005,0.050519407968904056
alpaca,0,1,0.1241461638318996,0.06303919251834272,-0.15468650861506955,0.15508283376500778,0.07049219716591262,-0.1351100445679992
alpaca,0,10,0.13346309067064224,-0.1332379644577252,0.10500159228574142,0.15155822390671214,-0.15038335395394692,0.1022136858905733
alpaca,0,11,0.13240331538543848,-0.13561712933669476,0.10254554409189237,0.11513725537099062,-0.10926290560716456,0.09868907603227767
alpaca,0,12,0.12307605727733766,-0.12324073305647432,0.08702207625555797,0.14568387414288608,-0.13041056475693835,0.09398959622121683
alpaca,0,13,0.13300626888611186,-0.1329376757240705,0.11094841902979774,0.12923569480417313,-0.15038335395394692,0.10573829574886894
alpaca,0,14,0.10846960914383127,-0.11816316762570808,0.12165839528971133,0.10338855584333852,-0.09516446617398204,0.1127875154654602
alpaca,0,15,0.12234847304064421,-0.12350659408056082,0.12728921345944738,0.13863465442629483,-0.1362849145207644,0.13158543470970357
alpaca,0,16,0.13495078515114708,-0.12696220046225878,0.051074407630718154,0.14803361404841653,-0.14098439433182525,0.049344538016138834
alpaca,0,17,0.15898008262147584,-0.15896373181442527,0.08547936501174465,0.17153101310372074,-0.17153101310372074,0.11513725537099062
alpaca,0,18,0.1548859099020985,-0.15502176080178195,0.15265087998854243,0.14098439433182525,-0.14215926428459047,0.1362849145207644
alpaca,0,19,0.11630487932499696,-0.11623814136090009,0.08886337983666977,0.1233613450403471,-0.11866186522928625,0.08694037650462556
alpaca,0,2,0.019641182862977714,-0.06613494359367167,0.13086699441211672,0.008224089669356473,-0.06344297744932136,0.11866186522928625
alpaca,0,20,0.05537729624772293,-0.08657580546729725,0.06655618156943865,0.048169668063373625,-0.09516446617398204,0.07284193707144304
alpaca,0,21,0.1333837463077524,-0.13329626590557114,0.10836185225772538,0.1468587440956513,-0.1445090041901209,0.10338855584333852
